log2(C) = 3.000000
log2(g) = -7.000000
accuracy = 0.871071

confusion matrix (absolute)
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
1	376	4	3	3	1	0	0	1	2	8	0	0	2	9	10	0	0	1
2	3	74	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	2	0	104	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0
4	4	2	1	323	15	0	0	0	0	0	0	0	0	0	0	1	0	0
5	7	4	1	22	399	23	0	0	0	1	1	0	1	5	1	8	0	0
6	0	0	0	0	16	74	0	0	0	2	0	1	0	2	0	4	0	0
7	0	0	0	0	0	0	63	5	6	0	0	0	0	0	0	0	0	0
8	0	0	0	0	0	0	4	78	0	0	0	2	0	0	1	0	0	0
9	0	0	0	0	0	0	7	1	144	11	4	7	0	0	0	1	1	0
10	3	1	0	0	1	2	0	0	6	294	1	6	1	1	19	0	10	0
11	0	0	0	0	1	0	1	0	1	2	83	5	0	2	0	4	0	0
12	0	0	0	0	0	0	0	3	4	12	6	273	1	0	2	2	5	0
13	6	0	0	0	0	0	0	0	3	1	0	2	92	1	9	0	0	0
14	7	0	3	0	5	1	0	0	0	0	0	0	1	37	3	0	0	1
15	3	0	0	0	0	0	0	0	0	9	0	1	5	4	136	1	6	0
16	1	0	0	1	5	4	0	0	0	0	2	2	0	0	0	96	1	0
17	0	0	0	0	0	0	0	0	0	3	0	2	0	0	9	0	33	0
18	4	1	0	0	1	0	0	0	0	0	0	0	0	1	1	2	1	314
